,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
2626,돈킹,한식,한식/백반/한정식,서울특별시 강남구 삼성로 352,2호선 삼성(무역센터),597.6866436013926,삼성,삼성역 돈킹,
2627,다향,양식,정통양식/경양식,서울특별시 중구 마른내로 113-1,5호선 을지로4가,341.42293016287886,을지로4가,을지로4가역 다향,
2628,클럽핸즈,커피점/카페,커피전문점/카페/다방,서울특별시 용산구 청파로 74,경의중앙 효창공원앞,470.09589086741363,효창공원앞,효창공원앞역 클럽핸즈,
2629,뚜또오케이고대점,커피점/카페,커피전문점/카페/다방,서울특별시 성북구 개운사길 31,1호선 제기동,897.2186081564189,제기동,제기동역 뚜또오케이고대점,
2630,오리마을,닭/오리요리,오리고기전문,서울특별시 노원구 동일로250길 39-36,7호선 수락산,564.7366752898922,수락산,수락산역 오리마을,
2631,세콘디,한식,한식/백반/한정식,서울특별시 송파구 백제고분로42길 4-9,8호선 석촌,395.62431142481796,석촌,석촌역 세콘디,https://pcmap.place.naver.com/restaurant/1650033382/review/visitor#
2632,일번지막창,유흥주점,호프/맥주,서울특별시 관악구 신림로 91,2호선 봉천,857.1229260957683,봉천,봉천역 일번지막창,
2633,아리한바비엥,부페,종합부페,서울특별시 중구 통일로 114,5호선 서대문,122.85664671555529,서대문,서대문역 아리한바비엥,
2634,강남포차,유흥주점,소주방/포장마차,서울특별시 금천구 시흥대로 93,1호선 석수,543.0710735438962,석수,석수역 강남포차,https://pcmap.place.naver.com/restaurant/1183512584/review/visitor#
2635,고구려,중식,중국음식/중국집,서울특별시 영등포구 선유로49길 29-1,9호선 선유도,107.4716113123045,선유도,선유도역 고구려,https://pcmap.place.naver.com/restaurant/185312221/review/visitor#
2636,캐리키즈카페,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국제금융로 10,5호선 여의도,212.41883782778515,여의도,여의도역 캐리키즈카페,
2637,몬,분식,라면김밥분식,서울특별시 강남구 논현로30길 52,3호선 매봉,153.59543677717366,매봉,매봉역 몬,
2638,카페메죠,커피점/카페,커피전문점/카페/다방,서울특별시 서초구 신반포로49길 12,7호선 학동,150.93898727857191,학동,학동역 카페메죠,https://pcmap.place.naver.com/restaurant/13460267/review/visitor#
2639,3층술집,유흥주점,호프/맥주,서울특별시 강동구 올림픽로70길 60,8호선 천호(풍납토성),196.48788013863805,천호,천호역 3층술집,
2640,라비앙로즈,양식,정통양식/경양식,서울특별시 광진구 능동로 90,7호선 건대입구,248.69563007238057,건대입구,건대입구역 라비앙로즈,
2641,버켓크랩,한식,한식/백반/한정식,서울특별시 강남구 압구정로 343,분당 압구정로데오,148.20842727840284,압구정로데오,압구정로데오역 버켓크랩,
2642,THECORNER103,한식,한식/백반/한정식,서울특별시 송파구 새말로 172,8호선 장지,819.573967606606,장지,장지역 THECORNER103,
2643,야미가,한식,한식/백반/한정식,서울특별시 송파구 양재대로66길 33,3호선 경찰병원,161.4064851691481,경찰병원,경찰병원역 야미가,
2644,경일식당,한식,한식/백반/한정식,서울특별시 서초구 마방로6길 29,D1 양재시민의숲(매헌),589.6733902217687,양재시민의숲,양재시민의숲역 경일식당,
2645,지카세,양식,돈가스전문점,서울특별시 강서구 마곡동로 62,5호선 우장산,807.000198965513,우장산,우장산역 지카세,https://pcmap.place.naver.com/restaurant/1250559491/review/visitor#
