,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
0,도전최강달인왕만두,한식,한식/백반/한정식,서울특별시 강동구 고덕로 333,5호선 상일동,373.3628767893122,상일동,상일동역 도전최강달인왕만두,https://pcmap.place.naver.com/restaurant/1187890786/review/visitor#
1,이때,한식,한식/백반/한정식,서울특별시 마포구 동교로38안길 7,경의중앙 홍대입구,360.46876976066255,홍대입구,홍대입구역 이때,https://pcmap.place.naver.com/restaurant/1641118302/review/visitor#
2,L.A.D,한식,한식/백반/한정식,서울특별시 마포구 잔다리로3안길 23,2호선 홍대입구,583.5941763673111,홍대입구,홍대입구역 L.A.D,https://pcmap.place.naver.com/restaurant/1857845585/review/visitor#
3,제이씨에스푸드,한식,한식/백반/한정식,서울특별시 관악구 신림로14길 3,2호선 봉천,860.540255114568,봉천,봉천역 제이씨에스푸드,
4,비지트,한식,한식/백반/한정식,서울특별시 서초구 동광로18길 82,2호선 방배,810.9756426881672,방배,방배역 비지트,https://pcmap.place.naver.com/restaurant/1848424123/review/visitor#
5,쓰리에프,한식,한식/백반/한정식,서울특별시 동작구 동작대로27가길 12,4호선 총신대입구(이수),137.23285652100842,총신대입구,총신대입구역 쓰리에프,
6,채움,한식,한식/백반/한정식,서울특별시 종로구 삼봉로 81,1호선 종각,217.22044124142639,종각,종각역 채움,
7,호구의주방,한식,한식/백반/한정식,서울특별시 영등포구 선유로 269,9호선 선유도,410.9939637492117,선유도,선유도역 호구의주방,
8,다향,한식,한식/백반/한정식,서울특별시 서초구 효령로 230,2호선 서초,637.1960687747954,서초,서초역 다향,https://pcmap.place.naver.com/restaurant/1514044516/review/visitor#
9,고향생막걸리,유흥주점,민속주점,서울특별시 강남구 압구정로 216,3호선 압구정,426.31448001976105,압구정,압구정역 고향생막걸리,https://pcmap.place.naver.com/restaurant/1496470647/review/visitor#
10,든든한우家,한식,한식/백반/한정식,서울특별시 서초구 반포대로16길 30,3호선 남부터미널(예술의전당),318.0537558528234,남부터미널,남부터미널역 든든한우家,
11,이삭토스트,패스트푸드,토스트전문,서울특별시 양천구 목동동로 379,9호선 신목동,760.4207531849452,신목동,신목동역 이삭토스트,
12,옥돌영양탕,닭/오리요리,삼계탕전문,서울특별시 광진구 긴고랑로36길 24,5호선 아차산(어린이대공원후문),354.92195734956823,아차산,아차산역 옥돌영양탕,https://pcmap.place.naver.com/restaurant/18806506/review/visitor#
13,양푼이김치찌개,한식,한식/백반/한정식,서울특별시 송파구 오금로17길 20,8호선 몽촌토성(평화의문),351.9343869228206,몽촌토성,몽촌토성역 양푼이김치찌개,https://pcmap.place.naver.com/restaurant/1403941863/review/visitor#
14,은진이네,한식,한식/백반/한정식,서울특별시 마포구 마포대로 196,5호선 애오개,53.08309970180186,애오개,애오개역 은진이네,https://pcmap.place.naver.com/restaurant/1532535770/review/visitor#
15,흥부보쌈,한식,족발/보쌈전문,서울특별시 양천구 목동동로 309,5호선 오목교(목동운동장앞),353.5401384919268,오목교,오목교역 흥부보쌈,https://pcmap.place.naver.com/restaurant/1379617037/review/visitor#
16,고수의족발,한식,족발/보쌈전문,서울특별시 송파구 동남로8길 30-39,8호선 문정,611.1417204428442,문정,문정역 고수의족발,
17,호랑이가만든족발,한식,족발/보쌈전문,서울특별시 강남구 테헤란로43길 28,9호선 선정릉,395.144211581915,선정릉,선정릉역 호랑이가만든족발,https://pcmap.place.naver.com/restaurant/1511593412/review/visitor#
18,왕십리제일곱창,한식,곱창/양구이전문,서울특별시 성동구 고산자로 284,2호선 왕십리,183.62199521009347,왕십리,왕십리역 왕십리제일곱창,https://pcmap.place.naver.com/restaurant/152310007/review/visitor#
19,커피빈,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 대명길 25,4호선 혜화,215.10585030950702,혜화,혜화역 커피빈,
20,씨지브이영등포골드클래스,패스트푸드,패스트푸드,서울특별시 영등포구 영중로 15,1호선 영등포,328.8288201071046,영등포,영등포역 씨지브이영등포골드클래스,https://pcmap.place.naver.com/restaurant/13141635/review/visitor#
21,유림식당,한식,한식/백반/한정식,서울특별시 은평구 서오릉로8길 29,3호선 불광,551.862336415439,불광,불광역 유림식당,
22,굽자나치킨호프,유흥주점,호프/맥주,서울특별시 성북구 보문로 63,우이신설 보문,331.00349454575223,보문,보문역 굽자나치킨호프,
23,대원식당,분식,국수/만두/칼국수,서울특별시 서대문구 이화여대길 64,경의중앙 신촌,294.7261145151021,신촌,신촌역 대원식당,https://pcmap.place.naver.com/restaurant/11727436/review/visitor#
24,청운,한식,한식/백반/한정식,서울특별시 종로구 자하문로 116,3호선 경복궁(정부서울청사),770.1393254617482,경복궁,경복궁역 청운,
25,굿,한식,한식/백반/한정식,서울특별시 도봉구 덕릉로 222,4호선 쌍문,798.0487887869133,쌍문,쌍문역 굿,
26,맛생맛사,한식,한식/백반/한정식,서울특별시 중구 을지로9길 16,2호선 을지로입구,197.93589716559555,을지로입구,을지로입구역 맛생맛사,https://pcmap.place.naver.com/restaurant/33705879/review/visitor#
27,대덕떡사랑,제과제빵떡케익,떡전문,서울특별시 은평구 서오릉로 162,3호선 연신내,740.9082432679277,연신내,연신내역 대덕떡사랑,https://pcmap.place.naver.com/restaurant/1668398634/review/visitor#
28,가파도참치,일식/수산물,참치전문점,서울특별시 양천구 오목로54길 2,5호선 오목교(목동운동장앞),122.8363522798526,오목교,오목교역 가파도참치,
29,크리스메구스,유흥주점,빠/카페/스탠드빠,서울특별시 중구 동호로15길 21-10,3호선 약수,243.67809648332317,약수,약수역 크리스메구스,
30,요거프레소,커피점/카페,커피전문점/카페/다방,서울특별시 도봉구 도당로 7,4호선 쌍문,663.8876661124177,쌍문,쌍문역 요거프레소,
31,"수제비,잔치",분식,국수/만두/칼국수,서울특별시 관악구 신원로 26,2호선 신림,264.954570860028,신림,"신림역 수제비,잔치",https://pcmap.place.naver.com/restaurant/34355311/review/visitor#
32,잭크와버크,양식,정통양식/경양식,서울특별시 강남구 남부순환로359길 10,D1 양재(서초구청),385.76853808179635,양재,양재역 잭크와버크,
33,놀부부대찌개철판구이성북역점,한식,부대찌개/섞어찌개,서울특별시 노원구 석계로 101,1호선 광운대,577.2212334850352,광운대,광운대역 놀부부대찌개철판구이성북역점,
34,이화가,한식,한식/백반/한정식,서울특별시 종로구 북촌로1길 28,3호선 안국,175.91904396396706,안국,안국역 이화가,https://pcmap.place.naver.com/restaurant/36298903/review/visitor#
35,울엄니밥상,한식,한식/백반/한정식,서울특별시 강서구 금낭화로15길 11,5호선 방화,282.2639149779946,방화,방화역 울엄니밥상,https://pcmap.place.naver.com/restaurant/37053407/review/visitor#
36,이레식당,한식,한식/백반/한정식,서울특별시 동작구 성대로31길 71,7호선 장승배기,252.07001757660458,장승배기,장승배기역 이레식당,
37,로얄식당,한식,한식/백반/한정식,서울특별시 중구 다산로14길 6,3호선 약수,138.00645193862564,약수,약수역 로얄식당,
38,열라닭발,닭/오리요리,닭내장/닭발요리,서울특별시 강서구 공항대로46길 100,9호선 가양,761.842051638855,가양,가양역 열라닭발,
39,우영푸드빌,한식,한식/백반/한정식,서울특별시 성동구 아차산로 144,2호선 성수,317.30458505818365,성수,성수역 우영푸드빌,https://pcmap.place.naver.com/restaurant/17924411/review/visitor#
40,한방전통삼계탕,닭/오리요리,삼계탕전문,서울특별시 강남구 강남대로92길 35,2호선 역삼,240.49185206430082,역삼,역삼역 한방전통삼계탕,https://pcmap.place.naver.com/restaurant/13473469/review/visitor#
41,오메가,일식/수산물,음식점-일식,서울특별시 영등포구 경인로 846,1호선 영등포,107.9748794516284,영등포,영등포역 오메가,
42,본죽,별식/퓨전요리,죽전문점,서울특별시 동대문구 홍릉로 10,경의중앙 청량리,199.77062841882224,청량리,청량리역 본죽,
43,봉구비어노량진역1호점12,유흥주점,호프/맥주,서울특별시 동작구 만양로14길 4,1호선 노량진,297.5207641415381,노량진,노량진역 봉구비어노량진역1호점12,
44,봉구비어삼양동사거리점,유흥주점,호프/맥주,서울특별시 강북구 삼양로 170,우이신설 삼양사거리,355.9257333026308,삼양사거리,삼양사거리역 봉구비어삼양동사거리점,
45,본도시락,패스트푸드,도시락전문점,서울특별시 성북구 안암로 63,1호선 신설동,610.0025778573034,신설동,신설동역 본도시락,
46,부산아지매국밥,한식,해장국/감자탕,서울특별시 관악구 남현1길 68-6,2호선 사당,72.6981314364018,사당,사당역 부산아지매국밥,https://pcmap.place.naver.com/restaurant/38627999/review/visitor#
47,대가집,한식,한식/백반/한정식,서울특별시 강남구 영동대로 513,2호선 삼성(무역센터),507.1961649185007,삼성,삼성역 대가집,
48,빨강떡볶이,분식,떡볶이전문,서울특별시 서초구 효령로33길 47,2호선 방배,144.6924742487018,방배,방배역 빨강떡볶이,
49,명동찌개마을,한식,부대찌개/섞어찌개,서울특별시 은평구 진관3로 67,3호선 구파발,430.619436217742,구파발,구파발역 명동찌개마을,
50,의정부부대찌개,한식,부대찌개/섞어찌개,서울특별시 강남구 역삼로83길 24,2호선 삼성(무역센터),480.18978413581885,삼성,삼성역 의정부부대찌개,
51,전주영양탕,닭/오리요리,삼계탕전문,서울특별시 강서구 공항대로41길 51,9호선 양천향교,786.7028137461139,양천향교,양천향교역 전주영양탕,
52,손가네빈대떡,한식,파전전문,서울특별시 서대문구 증가로10길 63,경의중앙 가좌,1341.830758669409,가좌,가좌역 손가네빈대떡,https://pcmap.place.naver.com/restaurant/20851908/review/visitor#
53,아이포,별식/퓨전요리,동남아음식전문점,서울특별시 강동구 구천면로 404,5호선 명일,73.60349793494969,명일,명일역 아이포,
54,분노지,일식/수산물,음식점-일식,서울특별시 서초구 주흥3길 8,9호선 사평,463.37481286576724,사평,사평역 분노지,
55,공간,양식,정통양식/경양식,서울특별시 강남구 언주로98길 13,9호선 선정릉,396.89112635661314,선정릉,선정릉역 공간,
56,부킹메들리,유흥주점,룸살롱/단란주점,서울특별시 은평구 통일로 732,3호선 불광,70.18000643314693,불광,불광역 부킹메들리,https://pcmap.place.naver.com/restaurant/20849501/review/visitor#
57,인생극장쪽갈비,한식,갈비/삼겹살,서울특별시 송파구 양재대로62길 36-1,8호선 가락시장,311.05838042019275,가락시장,가락시장역 인생극장쪽갈비,
58,대송,일식/수산물,음식점-일식,서울특별시 종로구 자하문로 34,3호선 경복궁(정부서울청사),263.27337824177016,경복궁,경복궁역 대송,
59,봉쥬르,중식,중국음식/중국집,서울특별시 강남구 압구정로30길 51,3호선 압구정,116.53633498584813,압구정,압구정역 봉쥬르,
60,406번째스토브,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로 329-6,5호선 오목교(목동운동장앞),42.78315541112942,오목교,오목교역 406번째스토브,
61,로얄커피숍,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 천호옛길 65,8호선 천호(풍납토성),258.96947412965494,천호,천호역 로얄커피숍,
62,등대횟집,일식/수산물,횟집,서울특별시 동대문구 신이문로28길 4,1호선 신이문,275.4019945950868,신이문,신이문역 등대횟집,
63,유미분식,분식,라면김밥분식,서울특별시 강남구 개포로82길 5-8,분당 개포동,125.52005014212831,개포동,개포동역 유미분식,
64,던킨도너츠동대문홈플러스,패스트푸드,도너츠전문,서울특별시 동대문구 천호대로 133,1호선 청량리(서울시립대입구),401.87869073364686,청량리,청량리역 던킨도너츠동대문홈플러스,
65,미뇽,유흥주점,빠/카페/스탠드빠,서울특별시 강북구 419로 25,우이신설 솔밭공원,628.8642338135884,솔밭공원,솔밭공원역 미뇽,
66,빈트리망원점,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 망원로 22,9호선 선유도,1294.649871932763,선유도,선유도역 빈트리망원점,
67,하레,유흥주점,로바다야끼,서울특별시 강남구 영동대로85길 38,2호선 삼성(무역센터),314.8410204750706,삼성,삼성역 하레,https://pcmap.place.naver.com/restaurant/1170958687/review/visitor#
68,죠샌드위치,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 테헤란로108길 11,2호선 삼성(무역센터),343.5019071819927,삼성,삼성역 죠샌드위치,
69,피자스쿨,패스트푸드,피자전문,서울특별시 영등포구 대림로 247,7호선 대림(구로구청),655.8252776088427,대림,대림역 피자스쿨,
70,부탄츄,한식,한식/백반/한정식,서울특별시 송파구 올림픽로 300,8호선 잠실(송파구청),89.19079678616123,잠실,잠실역 부탄츄,
71,한신회센타,일식/수산물,횟집,서울특별시 도봉구 도봉로180길 77,1호선 도봉,385.64506377738434,도봉,도봉역 한신회센타,https://pcmap.place.naver.com/restaurant/13053024/review/visitor#
72,오딧세이월계점,유흥주점,호프/맥주,서울특별시 노원구 월계로 366,1호선 월계,216.59651904169831,월계,월계역 오딧세이월계점,
73,SRS버거킹,패스트푸드,패스트푸드,서울특별시 서대문구 이화여대길 30,2호선 이대,221.23748788575128,이대,이대역 SRS버거킹,
74,동남식당,한식,한식/백반/한정식,서울특별시 종로구 종로20길 15-4,1호선 종로3가,112.68673673232746,종로3가,종로3가역 동남식당,https://pcmap.place.naver.com/restaurant/19409874/review/visitor#
75,친구네분식,분식,라면김밥분식,서울특별시 강북구 삼양로163길 7,우이신설 솔밭공원,155.24550536441797,솔밭공원,솔밭공원역 친구네분식,
76,영동뼈해장탕,한식,해장국/감자탕,서울특별시 강남구 개포로22길 49-3,3호선 매봉,823.4883068187886,매봉,매봉역 영동뼈해장탕,
77,생맥주가맛있디에이와이,유흥주점,호프/맥주,서울특별시 구로구 디지털로32길 97-6,2호선 구로디지털단지,160.76204995944747,구로디지털단지,구로디지털단지역 생맥주가맛있디에이와이,
78,샹제르망,제과제빵떡케익,제과점,서울특별시 은평구 역말로 71,3호선 연신내,885.7020040485795,연신내,연신내역 샹제르망,https://pcmap.place.naver.com/restaurant/18683018/review/visitor#
79,벌떼식당,한식,한식/백반/한정식,서울특별시 마포구 신촌로20길 12,2호선 신촌,74.49713217425689,신촌,신촌역 벌떼식당,https://pcmap.place.naver.com/restaurant/13159335/review/visitor#
80,카페필로네,커피점/카페,커피전문점/카페/다방,서울특별시 서초구 남부순환로 2583,D1 양재(서초구청),47.84690687763312,양재,양재역 카페필로네,
81,우성커피숍,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로 48,5호선 까치산,794.156052361722,까치산,까치산역 우성커피숍,
82,블독,양식,정통양식/경양식,서울특별시 용산구 보광로 127,경의중앙 서빙고,1030.8564953130722,서빙고,서빙고역 블독,
83,사계절,한식,한식/백반/한정식,서울특별시 성동구 광나루로9길 2,2호선 건대입구,767.6083370735053,건대입구,건대입구역 사계절,
84,장터국밥,한식,해장국/감자탕,서울특별시 도봉구 도봉로180나길 41,7호선 도봉산,490.7865352126792,도봉산,도봉산역 장터국밥,
85,대추나무복아구,일식/수산물,복전문,서울특별시 동작구 노량진로10길 17,9호선 노량진,354.5495982106156,노량진,노량진역 대추나무복아구,
86,사라,유흥주점,룸살롱/단란주점,서울특별시 강남구 테헤란로19길 7,9호선 언주,470.8660203868817,언주,언주역 사라,
87,한우나드리,일식/수산물,음식점-일식,서울특별시 광진구 천호대로 793,5호선 광나루(장신대),191.75210793885444,광나루,광나루역 한우나드리,
88,홈스테드커피삼청점,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 북촌로5가길 24,3호선 안국,499.24901742983286,안국,안국역 홈스테드커피삼청점,
89,바른치킨,닭/오리요리,후라이드/양념치킨,서울특별시 강남구 선릉로86길 17,분당 한티,531.8664447990596,한티,한티역 바른치킨,
90,김가네우면네이처힐,분식,라면김밥분식,서울특별시 서초구 태봉로 70,D1 양재시민의숲(매헌),1462.5395827025668,양재시민의숲,양재시민의숲역 김가네우면네이처힐,
91,메머드커피,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 와우산로 149,경의중앙 홍대입구,416.3373696848582,홍대입구,홍대입구역 메머드커피,
92,산수골추어감자탕,한식,해장국/감자탕,서울특별시 성동구 왕십리로31가길 31,2호선 상왕십리,7.987721902708722,상왕십리,상왕십리역 산수골추어감자탕,https://pcmap.place.naver.com/restaurant/367445424/review/visitor#
93,Mr박의돈워리,한식,한식/백반/한정식,서울특별시 성동구 무학로 50,2호선 상왕십리,470.7404930612738,상왕십리,상왕십리역 Mr박의돈워리,https://pcmap.place.naver.com/restaurant/35451955/review/visitor#
94,삼정식당,한식,한식/백반/한정식,서울특별시 은평구 녹번로 53,3호선 불광,319.1976498180957,불광,불광역 삼정식당,
95,강남존,한식,한식/백반/한정식,서울특별시 강남구 테헤란로1길 30,2호선 역삼,168.68529529142523,역삼,역삼역 강남존,
96,버블베어,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 금낭화로 167,5호선 방화,261.0921370264273,방화,방화역 버블베어,https://pcmap.place.naver.com/restaurant/706648145/review/visitor#
97,서울과학기술대학교제2학생식당,기타음식업,구내식당/자급식음식점,서울특별시 노원구 공릉로 232,7호선 공릉(서울과학기술대),651.1585593228268,공릉,공릉역 서울과학기술대학교제2학생식당,
98,초밥&참치전문점연,일식/수산물,참치전문점,서울특별시 광진구 능동로 179,7호선 어린이대공원(세종대),59.20379572874111,어린이대공원,어린이대공원역 초밥&참치전문점연,
99,데이앤데이,제과제빵떡케익,제과점,서울특별시 강동구 천호대로 1017,8호선 천호(풍납토성),17.80616087317307,천호,천호역 데이앤데이,
100,ZINO본점,양식,정통양식/경양식,서울특별시 서대문구 연대동문길 45,경의중앙 신촌,387.9280480116173,신촌,신촌역 ZINO본점,
101,강가네돌솥밥추어탕,한식,추어탕전문,서울특별시 금천구 남부순환로 1420,2호선 신대방,686.9707953079321,신대방,신대방역 강가네돌솥밥추어탕,https://pcmap.place.naver.com/restaurant/32345362/review/visitor#
102,메가박스상봉,패스트푸드,패스트푸드,서울특별시 중랑구 망우로30길 3,경의중앙 중랑,159.3896535438735,중랑,중랑역 메가박스상봉,
103,사나포차,유흥주점,소주방/포장마차,서울특별시 강동구 천호옛길 14,8호선 강동구청,98.64543485378479,강동구청,강동구청역 사나포차,
104,코리안바베큐,닭/오리요리,후라이드/양념치킨,서울특별시 은평구 은평로 213,3호선 녹번,511.5118736396096,녹번,녹번역 코리안바베큐,
105,카베,한식,한식/백반/한정식,서울특별시 강북구 솔매로44길 5,4호선 미아,285.3539089049978,미아,미아역 카베,https://pcmap.place.naver.com/restaurant/1253751701/review/visitor#
106,덩어리생고기고바우,한식,갈비/삼겹살,서울특별시 구로구 부일로1길 9,7호선 온수(성공회대입구),29.414048656969772,온수,온수역 덩어리생고기고바우,https://pcmap.place.naver.com/restaurant/13469053/review/visitor#
107,태평양단란주점,유흥주점,룸살롱/단란주점,서울특별시 중랑구 용마산로 532,경의중앙 양원(서울시북부병원),983.165306901569,양원,양원역 태평양단란주점,
108,라브리,한식,한식/백반/한정식,서울특별시 서초구 반포대로22길 64,2호선 서초,221.386881098324,서초,서초역 라브리,https://pcmap.place.naver.com/restaurant/36947639/review/visitor#
109,치킨호프,닭/오리요리,후라이드/양념치킨,서울특별시 용산구 원효로 129,경의중앙 효창공원앞,551.5473207067057,효창공원앞,효창공원앞역 치킨호프,
110,항동골분식,분식,라면김밥분식,서울특별시 구로구 연동로 324,1호선 온수,246.41461837042226,온수,온수역 항동골분식,https://pcmap.place.naver.com/restaurant/1415428065/review/visitor#
111,수연이네분식,분식,라면김밥분식,서울특별시 강남구 봉은사로44길 1,9호선 선정릉,396.187409597374,선정릉,선정릉역 수연이네분식,
112,퓨처핸접,한식,한식/백반/한정식,서울특별시 강북구 인수봉로 224,우이신설 가오리,518.0450701123777,가오리,가오리역 퓨처핸접,
113,깐부치킨,닭/오리요리,후라이드/양념치킨,서울특별시 은평구 진관4로 100,3호선 구파발,1811.7047441060688,구파발,구파발역 깐부치킨,
114,갈치와고갈비,일식/수산물,갈치/생선구이,서울특별시 동대문구 천호대로 15-9,1호선 신설동,113.66674714001005,신설동,신설동역 갈치와고갈비,https://pcmap.place.naver.com/restaurant/20346894/review/visitor#
115,참삼계탕,한식,한식/백반/한정식,서울특별시 구로구 신도림로 7,1호선 구로,598.6783561112277,구로,구로역 참삼계탕,
116,팅,유흥주점,호프/맥주,서울특별시 은평구 통일로 855-20,3호선 연신내,119.59854389045886,연신내,연신내역 팅,https://pcmap.place.naver.com/restaurant/32407285/review/visitor#
117,알뮤트1917,커피점/카페,커피전문점/카페/다방,서울특별시 강동구 천호대로 1005,8호선 천호(풍납토성),79.48738847781162,천호,천호역 알뮤트1917,
118,토끼의떡방아,제과제빵떡케익,떡전문,서울특별시 중랑구 용마산로 554,경의중앙 양원(서울시북부병원),903.5096479434517,양원,양원역 토끼의떡방아,https://pcmap.place.naver.com/restaurant/34350940/review/visitor#
119,동대문닭한마리칼국수,한식,한식/백반/한정식,서울특별시 노원구 공릉로38길 8-9,7호선 태릉입구,581.7461068655742,태릉입구,태릉입구역 동대문닭한마리칼국수,
120,남촌생고기구이,한식,갈비/삼겹살,서울특별시 마포구 대흥로 129,2호선 이대,560.4691785970949,이대,이대역 남촌생고기구이,
121,디초콜릿커피앤드대치점,패스트푸드,패스트푸드,서울특별시 강남구 테헤란로82길 14,2호선 삼성(무역센터),614.8927208998598,삼성,삼성역 디초콜릿커피앤드대치점,https://pcmap.place.naver.com/restaurant/1172936670/review/visitor#
122,미고스타수퍼점,제과제빵떡케익,제과점,서울특별시 강남구 언주로30길 57,분당 도곡,132.7956725717195,도곡,도곡역 미고스타수퍼점,
123,종로명인단팥빵,제과제빵떡케익,제과점,서울특별시 종로구 수표로 98,5호선 종로3가(탑골공원),182.82435092652688,종로3가,종로3가역 종로명인단팥빵,
124,안나피자와커피,패스트푸드,피자전문,서울특별시 도봉구 도봉로 602,1호선 방학,683.9029424671638,방학,방학역 안나피자와커피,https://pcmap.place.naver.com/restaurant/37879309/review/visitor#
125,그린분식,분식,라면김밥분식,서울특별시 영등포구 도림로 223,7호선 신풍,578.341858430812,신풍,신풍역 그린분식,
126,누리쪽갈비,한식,갈비/삼겹살,서울특별시 성동구 난계로 17-5,5호선 신금호,492.1463537269999,신금호,신금호역 누리쪽갈비,
127,돈DAY,한식,갈비/삼겹살,서울특별시 서초구 효령로31길 58,2호선 방배,257.6327375648189,방배,방배역 돈DAY,
128,중앙,양식,정통양식/경양식,서울특별시 관악구 신림로68길 8,2호선 신림,148.9788673547316,신림,신림역 중앙,
129,방짜양대창삼겹살,한식,갈비/삼겹살,서울특별시 송파구 오금로11길 44,8호선 몽촌토성(평화의문),171.18208371948938,몽촌토성,몽촌토성역 방짜양대창삼겹살,
130,유니코스시스텍,일식/수산물,음식점-초밥전문,서울특별시 구로구 구로중앙로 207,1호선 구로,586.191240286537,구로,구로역 유니코스시스텍,https://pcmap.place.naver.com/restaurant/34907588/review/visitor#
131,커피향,커피점/카페,커피전문점/카페/다방,서울특별시 강북구 삼양로 336,우이신설 화계,86.77614619140854,화계,화계역 커피향,
132,나폴레옹과자점방배,제과제빵떡케익,제과점,서울특별시 서초구 동광로 95-2,9호선 신반포,791.3384467359755,신반포,신반포역 나폴레옹과자점방배,
133,한신포차,유흥주점,룸살롱/단란주점,서울특별시 은평구 연서로29길 14-13,3호선 연신내,193.11842780613227,연신내,연신내역 한신포차,
134,원조바지락손칼국수,분식,국수/만두/칼국수,서울특별시 성북구 종암로 54,1호선 청량리(서울시립대입구),997.5601295569502,청량리,청량리역 원조바지락손칼국수,
135,BHC치킨,닭/오리요리,후라이드/양념치킨,서울특별시 양천구 목동서로 291,5호선 목동,540.2419930409617,목동,목동역 BHC치킨,
136,유토피아노래주점,유흥주점,룸살롱/단란주점,서울특별시 송파구 올림픽로 82,9호선 종합운동장,309.98009292584373,종합운동장,종합운동장역 유토피아노래주점,
137,더블유카페,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 언주로 407,9호선 선정릉,764.6118194964216,선정릉,선정릉역 더블유카페,
138,은하노래광장주점,유흥주점,룸살롱/단란주점,서울특별시 중구 퇴계로87길 15-12,2호선 신당,432.53794692652684,신당,신당역 은하노래광장주점,
139,고개호프,유흥주점,호프/맥주,서울특별시 구로구 구로동로 31,7호선 남구로,182.77155807132428,남구로,남구로역 고개호프,https://pcmap.place.naver.com/restaurant/1835175640/review/visitor#
140,cafe.C,커피점/카페,커피전문점/카페/다방,서울특별시 용산구 이촌로 310,4호선 이촌(국립중앙박물관),775.2078013108037,이촌,이촌역 cafe.C,
141,고기마을,한식,한식/백반/한정식,서울특별시 강남구 역삼로 166,D1 양재(서초구청),811.0513622963173,양재,양재역 고기마을,
142,하나은행,기타음식업,구내식당/자급식음식점,서울특별시 관악구 남부순환로 1836,2호선 서울대입구(관악구청),127.37347447663944,서울대입구,서울대입구역 하나은행,
143,가정식백반,한식,한식/백반/한정식,서울특별시 서초구 논현로31길 30,3호선 매봉,679.534276087921,매봉,매봉역 가정식백반,
144,온파스타화곡점,양식,스파게티전문점,서울특별시 강서구 곰달래로 136,5호선 까치산,228.58640391340424,까치산,까치산역 온파스타화곡점,
145,기사식당,한식,기사식당,서울특별시 동대문구 제기로 17,1호선 청량리(서울시립대입구),534.0793253514777,청량리,청량리역 기사식당,
146,송정,한식,한식/백반/한정식,서울특별시 강남구 봉은사로 524,9호선 봉은사,688.6540458619189,봉은사,봉은사역 송정,
147,커피빈,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 테헤란로 335,9호선 삼성중앙,461.23798254850533,삼성중앙,삼성중앙역 커피빈,
148,커피안바우,커피점/카페,커피전문점/카페/다방,서울특별시 노원구 덕릉로60길 252,1호선 녹천,1230.625128406629,녹천,녹천역 커피안바우,
149,교촌치킨,닭/오리요리,후라이드/양념치킨,서울특별시 중랑구 망우로 478-1,경의중앙 양원(서울시북부병원),500.86649287767716,양원,양원역 교촌치킨,
150,뚜껑집,한식,한식/백반/한정식,서울특별시 서대문구 충정로6안길 50,5호선 서대문,134.10927707447652,서대문,서대문역 뚜껑집,
151,뺑덕어멈,닭/오리요리,후라이드/양념치킨,서울특별시 구로구 개봉로20길 109,1호선 개봉,205.96178834558648,개봉,개봉역 뺑덕어멈,https://pcmap.place.naver.com/restaurant/38405198/review/visitor#
152,가비,한식,한식/백반/한정식,서울특별시 동대문구 한천로 103,5호선 장한평,620.010612908993,장한평,장한평역 가비,
153,부산씨앗호떡떡볶이반포,분식,떡볶이전문,서울특별시 서초구 신반포로 194,9호선 고속터미널,238.20683485556614,고속터미널,고속터미널역 부산씨앗호떡떡볶이반포,
154,혼치킨호프,유흥주점,호프/맥주,서울특별시 송파구 문정로4길 24-20,8호선 장지,457.4819380258713,장지,장지역 혼치킨호프,
155,반지만들기반지대학,커피점/카페,커피전문점/카페/다방,서울특별시 강남구 테헤란로1길 32,2호선 역삼,178.8543224884545,역삼,역삼역 반지만들기반지대학,https://pcmap.place.naver.com/restaurant/35949552/review/visitor#
156,장터분식,분식,라면김밥분식,서울특별시 강동구 천호대로 1016-18,8호선 천호(풍납토성),99.73114123836052,천호,천호역 장터분식,
157,콘서트,유흥주점,룸살롱/단란주점,서울특별시 동대문구 장한로 106,5호선 장한평,879.1164139237869,장한평,장한평역 콘서트,
158,구의식당,한식,한식/백반/한정식,서울특별시 광진구 아차산로 384,2호선 구의(광진구청),600.5335677959549,구의,구의역 구의식당,
159,월당,일식/수산물,음식점-일식,서울특별시 용산구 이태원로42길 42,경의중앙 한남,1177.8689256070206,한남,한남역 월당,https://pcmap.place.naver.com/restaurant/35554068/review/visitor#
160,띵낑커피,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로29길 32,2호선 건대입구,97.63832433596045,건대입구,건대입구역 띵낑커피,
161,라무진,한식,한식/백반/한정식,서울특별시 서초구 사평대로26길 48,9호선 신반포,438.012909163204,신반포,신반포역 라무진,
162,000간,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 창신10가길 1-11,1호선 동대문,525.0906111537371,동대문,동대문역 000간,
